LUM	SQM	BSL	NEC	MES	NRP 	CYG	Mesenchymal	Cycle	Interferon	Stress_Barkley	Hypoxia	Interferon_MHC-II-I	Stress_Gavish	EMT-I	MP7	Subtype-N	Subtype-P	Oxidative_phosphorylation 	Cytokines_and_inflammatory_response	Interferon_gamma_response	Regulation_of_autophagy
				HLA-DRA	PRKCE	FANCI		NAP1L1		RDH10						PCDH8	KIF1C			TNFSF10	
				PIK3R5	MPP7	RANGAP1		NASP		REL						PCDHGC4	KISS1R			TOR1B	
				LMCD1	NRG1	CCDC77		NCAPD2		RGS2						PCOLCE2	KIT			TRAFD1	
				SLC8A1	ITPR2	DNMT3B		NCAPD3		RHOB						PDZD4	KLHL29			TRIM14	
				COL16A1	ZNF667	CCDC88A		NCAPG		RND1						PHF21B	KRT2			TRIM21	
				NBL1	AUTS2	GINS1		NCAPG2		RND3						PHOX2B	KYNU			TRIM25	
				RPS23	LRP1B	EFCAB11		NDC80		RP1-313I6.12						PNMA2	LAD1			TRIM26	
				SAMD11	BCO2	FANCD2		NEK2		RP11-182L21.6						POU2F2	LANCL3			TXNIP	
				F2R	PBX1	NAV2		NMU		RP5-821D11.7						POU4F3	LATS2			UBE2L6	
				SLC2A3	RASSF8	AC004158.1		NRM		RP6-99M1.2						PPP1R16B	LCP2			UPP1	
				CYP1B1	HYDIN	BUB1B-PAK6		NUCB2		RRAD						PPP2R2B	LENG9			USP18	
				SFTPC	PRKD1	NEMP1		NUCKS1		SEMA4A						PRDM8	LIMD1			VAMP5	
				TMEM119	ZSCAN18	TDP1		NUDT1		SERTAD1						PRPH	LOX			VAMP8	
				MAFB	KLKB1	CENPO		NUF2		SFN						PRRT2	LRAT			VCAM1	
				NNMT	ZNF676	CENPJ		NUSAP1		SIK1						PSTPIP1	LRFN1			WARS1	
				VASH1	PBX3	TRAIP		OIP5		SLC20A1						PURG	LRFN4			XAF1	
				NHSL2	CEP112	FANCM		ORC6		SLC38A2						RAB33A	LRMP			XCL1	
				OLFML3	CYS1	WEE1		PAQR4		SNHG12						RASGRP1	LRP1B			ZBP1	
				ZNF521	GALNT18	KMT5A		PARPBP		SOCS1						RBM24	LRP3			ZNFX1	
								PBK		SOCS3						RGS8	LRRK1				
								PCLAF		SOX4						RHBDL3	LTBP1				
								PCNA		SOX9						RIMS3	LYPLA1				
								PHF19		SQSTM1						RIMS4	LZTS1				
								PIF1		TACSTD2						RNF112	LZTS2				
								PKMYT1		TAF1D						RNF165	MAN1A1				
								PLK1		TCF7						ROBO2	MFGE8				
								POC1A		TCIM						RPH3A	MGMT				
								POLD3		TFRC						RTN1	MICALL1				
								PRC1		TGIF1						RTN4RL1	MME				
								PRIM1		TIPARP						SAMD11	MMP17				
								PRKDC		TLE4						SAMD14	MN1				
								PRR11		TM4SF1						SCHIP1	MOCOS				
								PSIP1		TNFAIP2						SCN1A	MORC1				
								PSMC3IP		TNFAIP3						SEMA3C	MRO				
								PSRC1		TRIB1						SEMA6B	MSTN				
								PTMA		TSC22D1						SESN3	MTMR2				
